,city,lat,lon,population
4,São Paulo,-23.5504,-46.6339,22495000.0
17,Buenos Aires,-34.5997,-58.3819,16216000.0
28,Rio de Janeiro,-22.9083,-43.1964,12486000.0
45,Lima,-12.06,-77.0375,8992000.0
62,Bogotá,4.6126,-74.0705,7743955.0
82,Santiago,-33.45,-70.6667,7026000.0
138,Belo Horizonte,-19.9281,-43.9419,5159000.0
173,Timbío,2.3528,-76.6819,4444444.0
239,Santa Cruz,-17.7892,-63.1975,3151676.0
251,Brasília,-15.7939,-47.8828,3015268.0
269,Salvador,-12.9708,-38.5108,2886698.0
272,La Paz,-16.4942,-68.1475,2867504.0
281,Guayaquil,-2.19,-79.8875,2723665.0
307,Medellín,6.2447,-75.5748,2529403.0
314,Cali,3.44,-76.5197,2471474.0
318,Fortaleza,-3.7275,-38.5275,2452185.0
379,Quito,-0.22,-78.5125,2011388.0
387,Caracas,10.5,-66.9333,1943901.0
399,Curitiba,-25.4297,-49.2719,1879355.0
412,Manaus,-3.1,-60.0167,1802014.0
442,Recife,-8.0539,-34.8808,1653461.0
466,Maracaibo,10.6333,-71.6333,1551539.0
478,Belém,-1.4558,-48.5039,1499641.0
484,Porto Alegre,-30.0328,-51.23,1484941.0
485,Valencia,10.1667,-68.0,1484430.0
507,Goiânia,-16.6806,-49.2564,1393575.0
522,Córdoba,-31.4167,-64.1833,1329604.0
523,Guarulhos,-23.4667,-46.5333,1324781.0
527,Montevideo,-34.8667,-56.1667,1319108.0
543,Barranquilla,10.9639,-74.7964,1274250.0
565,Vila Velha,3.2167,-51.2167,1209091.0
576,Rosario,-32.9575,-60.6394,1193605.0
592,Campinas,-22.9009,-47.0573,1164098.0
605,Callao,-12.0611,-77.1333,1129854.0
634,São Gonçalo,-22.8269,-43.0539,1077687.0
641,São Luís,-2.53,-44.3028,1073893.0
655,Barquisimeto,10.0678,-69.3467,1059092.0
667,Cartagena,10.4236,-75.5253,1036412.0
678,Maceió,-9.6658,-35.735,1025360.0
692,Arequipa,-16.3988,-71.5369,1008290.0
707,Panama City,9.0,-79.5,880691.0
733,Asunción,-25.3,-57.6333,524190.0
754,Sucre,-19.0431,-65.2592,300000.0
763,Paramaribo,5.8667,-55.1667,223757.0
766,Georgetown,6.7833,-58.1667,200500.0
773,Willemstad,12.108,-68.935,150000.0
789,Cayenne,4.933,-52.33,61550.0
796,Port of Spain,10.6667,-61.5167,37074.0
799,Oranjestad,12.5186,-70.0358,34980.0
826,Saint George’s,12.0444,-61.7417,4315.0
830,Stanley,-51.7,-57.85,2213.0
864,Natal,-6.9838,-60.2699,980588.0
893,Trujillo,-8.1119,-79.0289,919899.0
908,Campo Grande,-20.4686,-54.6222,906092.0
926,Natal,-5.795,-35.2089,877662.0
951,Teresina,-5.0949,-42.8042,847430.0
956,Iguaçu,-22.74,-43.47,844583.0
973,São Bernardo do Campo,-23.6939,-46.565,816925.0
980,João Pessoa,-7.12,-34.88,801718.0
983,Abaeté,-19.1583,-45.4522,800000.0
984,Palermo,2.8883,-75.4339,800000.0
1020,Ciudad Guayana,8.3596,-62.6517,751331.0
1021,Cúcuta,7.9075,-72.5047,750000.0
1038,Comodoro Rivadavia,-45.8667,-67.5,730266.0
1056,Soledad,10.92,-74.77,698852.0
1057,Jaboatão,-8.1803,-35.0014,702621.0
1060,Santo André,-23.6572,-46.5333,710210.0
1069,Osasco,-23.5328,-46.7919,694844.0
1093,São José dos Campos,-23.1789,-45.8869,688597.0
1120,Ribeirão Prêto,-21.1783,-47.8067,666323.0
1126,Catia La Mar,10.6038,-67.0303,661897.0
1144,Contagem,-19.9319,-44.0539,648766.0
1152,Sorocaba,-23.5019,-47.4578,644919.0
1165,Aracaju,-10.9167,-37.05,632744.0
1166,Cochabamba,-17.3935,-66.157,632013.0
1198,Feira de Santana,-12.2669,-38.9669,617528.0
1204,San Miguel de Tucumán,-26.8167,-65.2167,605767.0
1217,Uberlândia,-18.9189,-48.2769,604013.0
1233,Mar del Plata,-38.0,-57.55,593337.0
1237,Pereira,4.8143,-75.6946,590554.0
1247,Cuiabá,-15.5958,-56.0969,585367.0
1251,Bucaramanga,7.1186,-73.1161,581130.0
1255,Puente Alto,-33.6167,-70.5833,573935.0
1276,Ciudad Bolívar,8.1167,-63.55,567953.0
1295,Juiz de Fora,-21.75,-43.35,555284.0
1300,Chiclayo,-6.763,-79.8366,552508.0
1308,Londrina,-23.31,-51.1628,548249.0
1315,Valledupar,10.4603,-73.2597,544134.0
1325,Ibagué,4.4378,-75.2006,541101.0
1333,Salta,-24.7883,-65.4106,535303.0
1347,Villavicencio,4.1425,-73.6294,527668.0
1352,Santa Teresa del Tuy,10.2333,-66.65,525321.0
1353,Maipú,-33.5167,-70.7667,521627.0
1355,Soacha,4.5781,-74.2144,522442.0
1375,Santa Marta,11.2361,-74.2017,515556.0
1376,Joinvile,-26.3039,-48.8458,515288.0
1380,Maturín,9.7457,-63.1832,514046.0
1382,Ananindeua,-1.3658,-48.3719,510834.0
1399,Montería,8.76,-75.8856,505334.0
1413,Niterói,-22.8833,-43.1036,496696.0
1422,Chimbote,-9.0745,-78.5936,497875.0
1449,Serra,-20.1289,-40.3078,485376.0
1464,Florianópolis,-27.5933,-48.553,477798.0
1473,San Juan,-31.5375,-68.5364,471389.0
1474,Vila Velha,-20.3364,-40.2936,472762.0
1476,Macapá,0.033,-51.0653,474706.0
1479,Piura,-5.2008,-80.6253,473025.0
1490,Lanús,-34.7,-58.4,459263.0
1498,Campos,-21.7539,-41.3239,463731.0
1508,Mauá,-23.6678,-46.4608,453286.0
1533,Barcelona,10.1333,-64.6833,448016.0
1544,São José do Rio Prêto,-20.82,-49.3789,442548.0
1562,Caxias do Sul,-29.1678,-51.1789,435564.0
1563,Santos,-23.9608,-46.3339,433966.0
1564,Manizales,5.0661,-75.4847,434403.0
1570,Cusco,-13.5222,-71.9833,428450.0
1581,Porto Velho,-8.7619,-63.9039,428527.0
1584,Florencio Varela,-34.8167,-58.2833,426005.0
1590,Mogi das Cruzes,-23.5228,-46.1931,424633.0
1592,Diadema,-23.6858,-46.6228,412428.0
1594,Buenaventura,3.8772,-77.0267,423927.0
1631,Rio Branco,-9.9781,-67.8117,413418.0
1647,Maracay,10.2469,-67.5958,407109.0
1649,Santa Fe,-31.6333,-60.7,405683.0
1650,Campina Grande,-7.2306,-35.8811,405072.0
1654,Maringá,-23.425,-51.9389,403063.0
1655,Carapicuíba,-23.5228,-46.8358,392294.0
1658,Jundiaí,-23.1864,-46.8842,401896.0
1685,Olinda,-8.0089,-34.855,389494.0
1689,Piracicaba,-22.7253,-47.6492,391449.0
1720,Pasto,1.21,-77.2747,382236.0
1725,Huancayo,-12.0667,-75.2167,378203.0
1727,Betim,-19.9678,-44.1978,378089.0
1732,Iquitos,-3.7333,-73.25,377609.0
1735,Cumaná,10.45,-64.1667,374706.0
1741,Bello,6.3319,-75.5581,371591.0
1748,La Florida,-33.55,-70.5667,366916.0
1762,Bauru,-22.3147,-49.0606,366992.0
1766,Anápolis,-16.3269,-48.9528,366491.0
1776,Blumenau,-26.9189,-49.0658,361855.0
1777,Montes Claros,-16.7322,-43.8636,361915.0
1789,Vitória,-20.3189,-40.3378,355875.0
1792,São Vicente,-23.9633,-46.3922,355542.0
1810,Itaquaquecetuba,-23.4864,-46.3486,352801.0
